City,lat,lon
Montceau-les-Mines,46.6678,4.3697
Saint-Valery-en-Caux,49.861,0.71
Vire,48.84,-0.89
Plumelec,47.8386,-2.6394
Chantonnay,46.6878,-1.0494
Le Blanc,46.6344,1.0636
Andorra Arcalis,42.5427806,1.492425
Fribourg,46.8,7.15
Montbéliard,47.51,6.8
Disneyland Paris,48.86861,2.78194
's-Hertogenbosch,51.683,5.3
Wasquehal,50.6694,3.1308
Lac de Madine,48.917,5.733
Le Monêtier-les-Bains,44.9769,6.5094
Turin,45.07917,7.67611
Argelès-Gazost,43.0,-0.1
Pamplona,42.817,-1.65
Hendaye,43.36,-1.77
Palaiseau,48.7145,2.2457
Saint-Brieuc,48.5136,-2.7653
Perros-Guirec,48.8142,-3.4422
Mayenne,48.167,-0.667
Alençon,48.4306,0.0931
Fécamp,49.76,0.38
La Plagne,45.5064,6.67722
Saint-Orens-de-Gameville,43.5518,1.5338
Montpon-Ménestérol,45.01,0.16
Lac de Vassivière,45.79722,1.87917
Lille,50.6278,3.0583
Roubaix,50.6901,3.18167
Dover,51.1295,1.3089
Portsmouth,50.80583,-1.08722
Cherbourg,49.63,-1.62
Poitiers,46.58,0.34
Lourdes,43.09417,-0.04694
Luçon,46.4556,-1.1647
Les Sables-d'Olonne,46.4972,-1.7833
Dinard,48.63,-2.06
Évreux,49.02,1.15
Châlons-sur-Marne,48.9575,4.365
Villard-de-Lans,45.0708,5.5514
Serre Chevalier,44.94444,6.56667
Andorra,42.55,1.583
Brétigny-sur-Orge,48.6114,2.3059
Viry-Châtillon,48.6713,2.375
San Sebastián,43.32139,-1.98556
Libourne,44.92,-0.24
Nogent-sur-Oise,49.2756,2.4683
Sestriere,44.95,6.883
La Bourboule,45.5892,2.74
Blois,47.5939,1.3281
La Défense,48.89167,2.24083
Bron,45.7394,4.9139
Villeurbanne,45.7667,4.8803
Dijon,47.316667,5.016667
Reims,49.2628,4.0347
Le Havre,49.49,0.1
Argentan,48.75,-0.02
Quimper,47.9967,-4.0964
Jaca,42.55,-0.55
Alès,44.1281,4.0817
Sarrebourg,48.74,7.05
Épinal,48.1744,6.4512
Geneva,46.20167,6.14694
Millau,44.0986,3.0783
Castillon-la-Bataille,44.854,-0.043
Labastide-d'Armagnac,43.9703,-0.185
Cauterets,42.89,-0.11
Pornichet,47.2775,-2.3389
Pontchâteau,47.43,-2.083
La Haie-Fouassière,47.1564,-1.3981
Neufchâtel-en-Bray,49.73,1.44
Liévin,50.4228,2.7786
Luz Ardiden,42.88556,-0.06139
Ruelle-sur-Touvre,45.6786,0.2211
Clermont-Ferrand,45.7831,3.0824
Nemours,48.2674,2.697
West Berlin,52.5,13.28
Karlsruhe,49.0092097,8.4039514
Stuttgart,48.7775,9.18
Brive,45.1583,1.5321
Bayonne,43.49,-1.48
Saint-Julien-en-Genevois,46.1436,6.0811
Boulogne-Billancourt,48.8352,2.2409
Nanterre,48.8988,2.1969
Meudon,48.812309,2.23815
Levallois-Perret,48.895,2.2872
Evreux,49.02,1.15
Villers-sur-Mer,49.3214,-0.005
Saint-Hilaire-du-Harcouët,48.5783,-1.0908
Superbagnères,42.768,0.577
Cosne-sur-Loire,47.4122,2.9275
Autrans,45.176,5.542
Luz-Saint-Sauveur,42.8725,-0.00056
Laruns,42.983,-0.416
Bondy,48.9022,2.4828
Bobigny,48.9106,2.4397
Louvroil,50.265,3.96
Valenciennes,50.35806,3.52333
Béthune,50.5303,2.6408
Cergy-Pontoise,49.03611,2.06306
Les Échelles,45.4375,5.7547
Crans-Montana,46.317,7.483
Villié-Morgon,46.1631,4.6814
Pantin,48.8966,2.4017
Fontenay-sous-Bois,48.8517,2.4772
Nogent-sur-Marne,48.8375,2.4833
La Rochelle,46.16,-1.15
Fleurance,43.8503,0.6644
Roquefort-sur-Soulzon,43.9775,2.9897
La Tour-du-Pin,45.565,5.4444
Alfortville,48.805,2.4239
Basel,47.55472,7.59056
Beauraing,50.10917,4.9567
